implementation,nodeCount,edgeCount,fixtureMs,graphConstructionMs,sceneConstructionMs,deviceConstructionMs,rendererConstructionMs,firstRenderMs,interactionMedianMs,interactionP95Ms,jsHeapUsedBytes,jsHeapTotalBytes,wasmPages,peakRssKb,setupValid,status,softThreshold,statusReason,reason,actualRender,completion
"cytoscape",1000,1936,0.39999985694885254,,,,,89.59999990463257,15,16.5,46949877,66360845,,930288,true,"healthy",,"Cytoscape mounted, rendered across two RAFs, and completed pan/zoom/select",,"mounted Cytoscape canvas",
"cytoscape",5000,9858,1.7000000476837158,,,,,338.7999999523163,76.39999985694885,79.5,147038425,193178897,,1169760,true,"healthy",,"Cytoscape mounted, rendered across two RAFs, and completed pan/zoom/select",,"mounted Cytoscape canvas",
"cytoscape",10000,19800,2.200000047683716,,,,,648.7000000476837,153.29999995231628,163.10000014305115,152701219,279051319,,1380800,true,"healthy","interactionP95>100ms","Cytoscape mounted, rendered across two RAFs, and completed pan/zoom/select",,"mounted Cytoscape canvas",
"cytoscape",25000,49683,4.599999904632568,,,,,1592.3000001907349,375.69999980926514,378.80000019073486,595104958,649704374,,1963328,true,"healthy","interactionP95>100ms","Cytoscape mounted, rendered across two RAFs, and completed pan/zoom/select",,"mounted Cytoscape canvas",
"cytoscape",50000,99552,6.5,,,,,3112.5999999046326,738,819,645441727,917493211,,2941712,true,"healthy","interactionP95>100ms","Cytoscape mounted, rendered across two RAFs, and completed pan/zoom/select",,"mounted Cytoscape canvas",
"cytoscape",100000,199367,11.399999856948853,,,,,6483.599999904633,1507.7000000476837,1548.5,2051810187,2130033455,,3902336,true,"healthy","firstRender>5s","Cytoscape mounted, rendered across two RAFs, and completed pan/zoom/select",,"mounted Cytoscape canvas",
"cytoscape",250000,,,,,,,,,,,,,4824624,false,"runner-timeout",,"isolated renderer worker exceeded 45000ms","",,
"canvaskit",1000,1936,0.3000001907348633,,30.899999856948853,,,14.100000143051147,8,8.799999952316284,6018761,10341225,2048,602592,true,"healthy",,"CanvasKit SW surface flushed and completed pan/zoom/select",,"MakeSWCanvasSurface + flush + RAF",
"canvaskit",5000,9858,1.0999999046325684,,29.700000047683716,,,25.700000047683716,16.90000009536743,19,6612101,10635369,2048,662992,true,"healthy",,"CanvasKit SW surface flushed and completed pan/zoom/select",,"MakeSWCanvasSurface + flush + RAF",
"canvaskit",10000,19800,2.299999952316284,,28.90000009536743,,,39.200000047683716,29.100000143051147,31.700000047683716,8516135,16442539,2048,827040,true,"healthy",,"CanvasKit SW surface flushed and completed pan/zoom/select",,"MakeSWCanvasSurface + flush + RAF",
"canvaskit",25000,49683,4.200000047683716,,28.100000143051147,,,63.89999985694885,53.700000047683716,57.200000047683716,10181343,17561963,2048,822288,true,"healthy",,"CanvasKit SW surface flushed and completed pan/zoom/select",,"MakeSWCanvasSurface + flush + RAF",
"canvaskit",50000,99552,6.200000047683716,,30.899999856948853,,,105.90000009536743,92,102.20000004768372,11906257,28182121,2048,841680,true,"healthy","interactionP95>100ms","CanvasKit SW surface flushed and completed pan/zoom/select",,"MakeSWCanvasSurface + flush + RAF",
"canvaskit",100000,199367,12,,30.399999856948853,,,190.90000009536743,175.60000014305115,191.5,16498349,33808617,2048,851504,true,"healthy","interactionP95>100ms","CanvasKit SW surface flushed and completed pan/zoom/select",,"MakeSWCanvasSurface + flush + RAF",
"canvaskit",250000,499000,26.699999809265137,,33.60000014305115,,,446,425.39999985694885,452.39999985694885,39484905,67580009,2048,942288,true,"healthy","interactionP95>100ms","CanvasKit SW surface flushed and completed pan/zoom/select",,"MakeSWCanvasSurface + flush + RAF",
"canvaskit",500000,998585,47.200000047683716,,31.200000047683716,,,791.1999998092651,748.0999999046326,811.1000001430511,67949517,93926633,2458,1049536,true,"healthy","interactionP95>100ms","CanvasKit SW surface flushed and completed pan/zoom/select",,"MakeSWCanvasSurface + flush + RAF",
"canvaskit",1000000,1998000,125.39999985694885,,29.5,,,1520.5999999046326,1523.7999999523163,1598.9000000953674,120476449,186138101,3660,1274560,true,"healthy","interactionP95>100ms","CanvasKit SW surface flushed and completed pan/zoom/select",,"MakeSWCanvasSurface + flush + RAF",
"canvaskit",2000000,3997171,208.20000004768372,,31.799999952316284,,,3058.4000000953674,2956.0999999046326,3149.9000000953674,233586033,285790185,8819,1596992,true,"healthy","interactionP95>100ms","CanvasKit SW surface flushed and completed pan/zoom/select",,"MakeSWCanvasSurface + flush + RAF",
"sigma",1000,1936,0.40000009536743164,3.8999998569488525,,,,273.39999985694885,74.70000004768372,77,9950756,16628080,,1009376,true,"healthy",,"Sigma WebGL canvases refreshed across four RAFs and completed pan/zoom/select",,"Sigma.refresh + RAF",
"sigma",5000,9858,0.9000000953674316,14,,,,839,346.10000014305115,390.7999999523163,43183903,88804607,,1134816,true,"healthy","interactionP95>100ms","Sigma WebGL canvases refreshed across four RAFs and completed pan/zoom/select",,"Sigma.refresh + RAF",
"sigma",10000,19800,1.4000000953674316,26.09999990463257,,,,1568.6999998092651,727.7000000476837,731.5,140638139,181930675,,1220320,true,"healthy","interactionP95>100ms","Sigma WebGL canvases refreshed across four RAFs and completed pan/zoom/select",,"Sigma.refresh + RAF",
"sigma",25000,49683,3.9000000953674316,60.69999980926514,,,,3508.199999809265,1711.3000001907349,1726.5,94825191,147933855,,1205984,true,"healthy","interactionP95>100ms","Sigma WebGL canvases refreshed across four RAFs and completed pan/zoom/select",,"Sigma.refresh + RAF",
"sigma",50000,99552,5.5,126.29999995231628,,,,6709.800000190735,3417,3433.7000000476837,168954167,210473631,,1291696,true,"healthy","firstRender>5s","Sigma WebGL canvases refreshed across four RAFs and completed pan/zoom/select",,"Sigma.refresh + RAF",
"sigma",100000,199367,11.100000143051147,280.89999985694885,,,,14493.200000047684,7658.199999809265,7760.799999952316,443904419,503131199,,1680976,true,"healthy","firstRender>5s","Sigma WebGL canvases refreshed across four RAFs and completed pan/zoom/select",,"Sigma.refresh + RAF",
"vello-wgpu",1000,1936,0.08333299999999999,,,3.298375,26.11325,30.866958,6.897125,8.149750000000001,,,,34032,true,"healthy",,"Vello scene encoded, rendered to a headless wgpu texture, and waited for device completion",,true,"device.poll(wait_indefinitely)"
"vello-wgpu",5000,9858,0.23141599999999998,,,2.463167,20.353084,35.100708000000004,11.64475,11.682167,,,,2640,true,"healthy",,"Vello scene encoded, rendered to a headless wgpu texture, and waited for device completion",,true,"device.poll(wait_indefinitely)"
"vello-wgpu",10000,19800,0.48216600000000004,,,2.368083,21.636625,40.06975,15.643542,16.820249999999998,,,,1232,true,"healthy",,"Vello scene encoded, rendered to a headless wgpu texture, and waited for device completion",,true,"device.poll(wait_indefinitely)"
"vello-wgpu",25000,49683,1.177291,,,2.305333,19.962208,52.705333,30.005125,30.619,,,,2800,true,"healthy",,"Vello scene encoded, rendered to a headless wgpu texture, and waited for device completion",,true,"device.poll(wait_indefinitely)"
"vello-wgpu",50000,99552,2.412834,,,2.367292,20.540375,32.481167,15.789625000000001,17.732709,,,,2576,true,"healthy",,"Vello scene encoded, rendered to a headless wgpu texture, and waited for device completion",,true,"device.poll(wait_indefinitely)"
"vello-wgpu",100000,199367,4.469708,,,2.1745419999999998,20.147708,91.759916,67.476083,68.847042,,,,169376,true,"healthy",,"Vello scene encoded, rendered to a headless wgpu texture, and waited for device completion",,true,"device.poll(wait_indefinitely)"
"vello-wgpu",250000,499000,11.337125,,,2.208458,19.922541,90.30499999999999,75.155125,77.53133399999999,,,,249424,true,"healthy",,"Vello scene encoded, rendered to a headless wgpu texture, and waited for device completion",,true,"device.poll(wait_indefinitely)"
"vello-wgpu",500000,998585,22.585583,,,2.31075,20.976458,165.90466600000002,141.890334,148.627875,,,,545536,true,"healthy","interactionP95>100ms","Vello scene encoded, rendered to a headless wgpu texture, and waited for device completion",,true,"device.poll(wait_indefinitely)"
"vello-wgpu",1000000,,,,,,,,,,,,,318272,false,"renderer-error",,"thread 'main' (1666371058) panicked at /Users/chrishafley/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/wgpu-29.0.4/src/backend/wgpu_core.rs:1277:26:\nwgpu error: Validation Error\n\nCaused by:\n  In Device::create_bind_group\n    Buffer binding 1 range 268435456 exceeds `max_*_buffer_binding_size` limit 134217728\n\n\nnote: run with `RUST_BACKTRACE=1` environment variable to display a backtrace","thread 'main' (1666371058) panicked at /Users/chrishafley/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/wgpu-29.0.4/src/backend/wgpu_core.rs:1277:26:\nwgpu error: Validation Error\n\nCaused by:\n  In Device::create_bind_group\n    Buffer binding 1 range 268435456 exceeds `max_*_buffer_binding_size` limit 134217728\n\n\nnote: run with `RUST_BACKTRACE=1` environment variable to display a backtrace",,
